from 20200130-500KHABSM-4p78125mgml (Second Difference),,,,,,,,,,,,,,,from 20200130-500KHABSM-6p750mgml (Second Difference),,,,,,,,,,,,,,,from 20200130-500KHABSM-5p625mgml (Second Difference),,,,,,,,,,,,,,,from 20200130-500KHABSM-4p064mgml (Second Difference),,,,,,,,,,,,,,,from 20200130-500KHABSM-3p450mgml (Second Difference),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conc (um),9.5625,time(s),0.25,irrad (t/f),TRUE,,,,,,,,,,conc (um),13.5,time(s),0.25,irrad (t/f),TRUE,,,,,,,,,,conc (um),11.25,time(s),0.25,irrad (t/f),TRUE,,,,,,,,,,conc (um),8.128,time(s),0.25,irrad (t/f),TRUE,,,,,,,,,,conc (um),6.9,time(s),0.25,irrad (t/f),TRUE,,,,,,,,
,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute
1,4.21,2.11,26.94,1020.35,Compound,None,,,,1,4.3199 .. 4.1667,2.96,1021.3474,,1,4.21,2.7369,26.9,1321.76,Compound,None,,,,1,4.3199 .. 4.1667,2.92,1380.62,,1,4.2,2.2612,34.82,1413.53,Compound,None,,,,1,4.3199 .. 4.1667,2.63,1094.346,,1,4.21,1.8521,27.86,926.21,Compound,None,,,,1,4.3199 .. 4.1667,3.07,907.5306,,1,4.21,1.6567,27.29,811.66,Compound,None,,,,1,4.3199 .. 4.1667,3.08,810.445
2,4.13,1.9123,23.86,819.22,Compound,None,,,,2,4.1667 .. 4.0025,2.65,914.0484,,2,4.13,2.5246,18.64,844.67,Compound,None,,,,2,4.1667 .. 4.0025,2.56,1209.7566,,2,4.13,2.046,23.9,877.93,Compound,None,,,,2,4.1667 .. 4.0025,2.15,894.2311,,2,4.14,1.6315,13.74,402.35,Compound,None,,,,2,4.1667 .. 4.0025,2.71,802.6852,,2,4.12,1.4989,24.04,646.97,Compound,None,,,,2,4.1667 .. 4.0025,2.86,754.4201
3,3.51,9.5708,9525.91,1636814.9,Compound,None,,,,3,3.5985 .. 3.4369,11.55,3984.7738,,3,3.51,12.1539,27.52,6004.48,Compound,None,,,,3,3.5985 .. 3.4369,10.97,5194.5308,,3,3.51,10.7614,27.18,5250.79,Compound,None,,,,3,3.5985 .. 3.4369,10.74,4460.1445,,3,3.51,8.4379,27.1,4105.62,Compound,None,,,,3,3.5985 .. 3.4369,11.7,3464.0175,,3,3.51,7.5251,27.08,3658.27,Compound,None,,,,3,3.5985 .. 3.4369,11.97,3153.6661
4,3.19,11.4251,27.85,5711.8,Compound,None,,,,4,3.2205 .. 3.1641,9.71,3350.9383,,4,3.19,14.384,29.5,7617.53,Compound,None,,,,4,3.2205 .. 3.1641,9.11,4313.4935,,4,3.19,12.7395,28.06,6418.96,Compound,None,,,,4,3.2205 .. 3.1641,9.07,3766.2013,,4,3.19,10.1169,27.1,4923.02,Compound,None,,,,4,3.2205 .. 3.1641,9.95,2945.6458,,4,3.19,8.9992,26.7,4313.24,Compound,None,,,,4,3.2205 .. 3.1641,9.89,2606.0007
5,3.01,5.0383,34.09,3083.2,Compound,None,,,,5,3.0701 .. 2.9498,6.93,2391.0026,,5,3.01,6.2475,33,3701.49,Compound,None,,,,5,3.0701 .. 2.9498,6.33,2996.5579,,5,3.01,5.5158,32.13,3182.05,Compound,None,,,,5,3.0701 .. 2.9498,6.17,2564.5736,,5,3.01,4.4961,32.29,2606.15,Compound,None,,,,5,3.0701 .. 2.9498,7.1,2100.5498,,5,3.01,4.034,32.13,2326.75,Compound,None,,,,5,3.0701 .. 2.9498,7.11,1873.9867
6,1.69,56.5905,4.29,4357.79,Compound,None,,,,6,1.7148 .. 1.6698,12.18,4202.0728,,6,1.69,71.3324,4.61,5902.3,Compound,None,,,,6,1.7148 .. 1.6698,12.11,5731.4832,,6,1.69,64.5724,4.48,5190.59,Compound,None,,,,6,1.7148 .. 1.6698,12.26,5091.9569,,6,1.69,50.1814,4.24,3824.13,Compound,None,,,,6,1.7148 .. 1.6698,12.45,3686.7752,,6,1.69,44.4084,4.14,3301.25,Compound,None,,,,6,1.7148 .. 1.6698,12.1,3189.6135
7,0.84,12.2381,19.32,4245.34,Compound,None,,,,7,0.8491 .. 0.8417,1.01,350.1272,,7,0.85,16.1551,2.18,633.19,Compound,None,,,,7,0.8491 .. 0.8417,1,473.5884,,7,0.84,14.1424,2.07,526.27,Compound,None,,,,7,0.8491 .. 0.8417,0.98,408.8885,,7,0.84,10.595,51.52,9799.5,Compound,None,,,,7,0.8491 .. 0.8417,1.02,301.9139,,7,0.84,9.1145,15.47,2531.98,Compound,None,,,,7,0.8491 .. 0.8417,0.99,260.2731
conc (um),9.5625,time(s),0.25,irrad (t/f),FALSE,,,,,,,,,,conc (um),13.5,time(s),0.25,irrad (t/f),FALSE,,,,,,,,,,conc (um),11.25,time(s),0.25,irrad (t/f),FALSE,,,,,,,,,,conc (um),8.128,time(s),0.25,irrad (t/f),FALSE,,,,,,,,,,conc (um),6.9,time(s),0.25,irrad (t/f),FALSE,,,,,,,,
